RANK,COMPANY,EXECUTIVE NAME,NET WORTH,COUNTRY
482,Pipelines,Kelcy Warren,6200000000.0,United States
483,Investment research,Joe Mansueto,6200000000.0,United States
484,Biotech and investments,Dona Bertarelli,6200000000.0,Switzerland
485,Investments,Dirk Ziff,6200000000.0,United States
485,Investments,Daniel Ziff,6200000000.0,United States
487,Investments,Robert Ziff,6200000000.0,United States
488,Software,Scott Cook,6200000000.0,United States
489,Hedge funds,Stanley Druckenmiller,6200000000.0,United States
490,Airline,Rakesh Gangwal,6100000000.0,United States
491,Toyota dealerships,Dan Friedkin,6100000000.0,United States
492,Hedge fund,Philippe Laffont,6100000000.0,United States
493,Hedge funds,Paul Singer,6100000000.0,United States
494,Construction,Rafael Del Pino,6100000000.0,Spain
495,Drugstores,Stefano Pessina,6100000000.0,Monaco
496,New Orleans Saints,Gayle Benson,6100000000.0,United States
497,Venture capital,Michael Moritz,6100000000.0,United States
498,Finance,Todd Boehly,6100000000.0,United States
499,IT provider,Leo Koguan,6000000000.0,United States
500,"Finance, asset management",Mark Walter,6000000000.0,United States
501,Retail,Les Wexner & family,6000000000.0,United States
502,Liquor,William Goldring & family,6000000000.0,United States
503,Electrical equipment,Vinod Rai Gupta,6000000000.0,India
504,"Construction equipment, media",Kerry Stokes,6000000000.0,Australia
505,Real estate,Vikas Oberoi,6000000000.0,India
506,Pharmaceuticals,Alain Merieux & family,6000000000.0,France
507,Photovoltaic equipment,Cao Renxian,5900000000.0,China
508,Lego,Kjeld Kirk Kristiansen,5900000000.0,Denmark
509,Facebook,Jeff Rothschild,5900000000.0,United States
510,E-commerce,Tobi Lutke,5900000000.0,Canada
511,Tech investments,Yuri Milner,5900000000.0,Israel
512,Pharmaceuticals,Robert Duggan,5800000000.0,United States
513,Temp agency,Frits Goldschmeding,5800000000.0,Netherlands
514,Real estate management,Robert Faith,5800000000.0,United States
515,Dairy,Theo Mueller,5800000000.0,Germany
516,San Francisco 49ers,Denise York & family,5800000000.0,United States
517,Medical devices,Rudolf Maag,5700000000.0,Switzerland
518,Video games,Tim Sweeney,5700000000.0,United States
519,Payroll services,Tom Golisano,5700000000.0,United States
520,"Media, automotive",Blair Parry-Okeden,5700000000.0,United States
521,FedEx,Fred Smith,5700000000.0,United States
522,Fintech,Mikhail Lomtadze,5700000000.0,Georgia
523,"Media, automotive",Jim Kennedy,5700000000.0,United States
524,Luxury goods,Patrizio Bertelli,5700000000.0,Italy
525,Record label,Clive Calder,5700000000.0,United Kingdom
526,Luxury goods,Miuccia Prada,5700000000.0,Italy
527,Venture capital,Tench Coxe,5700000000.0,United States
528,Real estate,John A. Sobrato & family,5700000000.0,United States
529,Poultry genetics,Erich Wesjohann & family,5700000000.0,Germany
530,Investments,Chase Coleman III,5700000000.0,United States
531,Retail,Shen Guojun,5600000000.0,China
532,Finance,Cho Jung-ho,5600000000.0,South Korea
533,"Food, beverages",Tsai Eng-meng,5600000000.0,Taiwan
534,Online gambling,Mark Scheinberg,5600000000.0,Canada
535,"Energy, sports",Janice McNair,5600000000.0,United States
536,"Cement, sugar",Abdulsamad Rabiu,5600000000.0,Nigeria
537,Consumer goods,Renate Reimann-Haas,5600000000.0,Germany
537,Consumer goods,Matthias Reimann-Andersen,5600000000.0,Germany
537,Consumer goods,Stefan Reimann-Andersen,5600000000.0,Germany
537,Consumer goods,Wolfgang Reimann,5600000000.0,Germany
541,Navigation equipment,Min Kao & family,5600000000.0,United States
542,Agriculture,Stewart Resnick,5600000000.0,United States
542,Agriculture,Lynda Resnick,5600000000.0,United States
544,"Tobacco distribution, retail",Igor Kesaev,5600000000.0,Russia
545,Supermarkets,Juan Roig,5600000000.0,Spain
546,Finance,Daniel Tsai,5600000000.0,Taiwan
547,Sporting goods,Michel Leclercq & family,5600000000.0,France
548,Banking,Andre Esteves,5600000000.0,Brazil
549,Financial information,Qi Shi & family,5600000000.0,China
550,Investments,Herbert Wertheim,5500000000.0,United States
551,Diversified,James Irving,5500000000.0,Canada
552,Investments,Sofia Högberg Schörling,5500000000.0,Sweden
552,Investments,Märta Schörling Andreen,5500000000.0,Sweden
554,Auto parts,Wu Jianshu,5500000000.0,Hong Kong
555,Paints,Mahendra Choksi & family,5400000000.0,India
556,Sports retailing,Michael Ashley,5400000000.0,United Kingdom
557,Finance,Richard Tsai,5400000000.0,Taiwan
558,Carnival Cruises,Shari Arison,5400000000.0,Israel
559,Telecom,Robert Hale Jr,5400000000.0,United States
560,E-commerce,Richard Liu,5400000000.0,China
561,Bloomberg LP,Thomas Secunda,5400000000.0,United States
562,Oil trading,Torbjorn Tornqvist,5400000000.0,Sweden
563,Diversified,Sumet Jiaravanon,5400000000.0,Thailand
564,Internet search,Robin Li,5400000000.0,China
565,Food,Murat Ulker,5400000000.0,Turkey
566,Chemicals,John Reece,5400000000.0,United Kingdom
567,Chemicals,Andrew Currie,5400000000.0,United Kingdom
568,"Online media, Dallas Mavericks",Mark Cuban,5400000000.0,United States
569,"Timberland, lumber mills",Archie Aldis Emmerson & family,5400000000.0,United States
570,Lululemon,Chip Wilson,5300000000.0,Canada
571,Diversified,Jaran Chiaravanont,5300000000.0,Thailand
572,"Software, investments",Martin Haefner,5300000000.0,Switzerland
573,Investments,Kenneth Dart,5300000000.0,Belize
574,Restaurants,Zhang Yong,5300000000.0,Singapore
575,Star Wars,George Lucas,5300000000.0,United States
576,Diversified,Sanjiv Bajaj,5300000000.0,India
576,Diversified,Rajiv Bajaj,5300000000.0,India
578,"Oil, investments",Robert Bass,5300000000.0,United States
579,Real estate,Rick Caruso,5300000000.0,United States
580,Digital advertising,Jeff T. Green,5300000000.0,United States
581,Medical equipment,Jon Stryker,5300000000.0,United States
582,Diversified,Rajan Raheja & family,5200000000.0,India
583,Private equity,Justin Ishbia,5200000000.0,United States
584,Commodities,Margarita Louis-Dreyfus & family,5200000000.0,Switzerland
585,Manufacturing,Horst Julius Pudwill,5200000000.0,Germany
586,Cosmetics,Miguel Krigsner,5200000000.0,Brazil
587,"Chemicals, building products",Dorothy Chao Jenkins & family,5200000000.0,United States
587,"Chemicals, building products",Albert Chao & family,5200000000.0,United States
587,"Chemicals, building products",James Chao & family,5200000000.0,United States
590,Supermarkets,Tomasz Biernacki,5200000000.0,Poland
591,Engineering,Baba Kalyani,5200000000.0,India
592,Petrochemicals,Lin Shu-hong,5200000000.0,Taiwan
593,Energy drinks,Russ Weiner,5200000000.0,United States
594,Apparel,Gao Dekang & family,5200000000.0,China
595,Agribusiness,Liu Yonghao & family,5200000000.0,China
596,Email marketing,Dan Kurzius,5100000000.0,United States
597,Software,Udo Tschira,5100000000.0,Germany
597,software,Gerda Tschira,5100000000.0,Germany
597,Software,Harald Tschira,5100000000.0,Germany
600,Batteries,Li Ping,5100000000.0,Hong Kong
601,Homebuilding,Peter Gilgan,5100000000.0,Canada
602,Sports,John Henry,5100000000.0,United States
603,Software,Joseph Liemandt,5100000000.0,United States
604,Investments,Lin Li,5100000000.0,China
605,Diversified,Tahir & family,5100000000.0,Indonesia
606,Money management,Ron Baron,5100000000.0,United States
607,Private equity,Tony Tamer,5100000000.0,United States
607,Private equity,Sami Mnaymneh,5100000000.0,United States
609,Software,John Sall,5100000000.0,United States
610,Cleaning products,Helen Johnson-Leipold,5100000000.0,United States
611,Investments,Carl Icahn,5100000000.0,United States
612,Gas stations,Bill Haslam,5100000000.0,United States
613,Real estate,Hussain Sajwani,5100000000.0,United Arab Emirates
614,Software,Romesh T. Wadhwani,5100000000.0,United States
615,Cleaning products,Winifred J. Marquart,5000000000.0,United States
616,Cable television,Charles Dolan & family,5000000000.0,United States
617,Cleaning products,H. Fisk Johnson,5000000000.0,United States
618,Cleaning products,S. Curtis Johnson,5000000000.0,United States
619,"Hotels, investments",Jean (Gigi) Pritzker,5000000000.0,United States
620,Pipe Manufacturing,Paolo Rocca,5000000000.0,Italy
621,Pipe Manufacturing,Gianfelice Rocca,5000000000.0,Italy
622,"Book distribution, transportation",Martha Ingram & family,5000000000.0,United States
623,Dolby Laboratories,Dagmar Dolby & family,5000000000.0,United States
624,Software,Dietmar Hopp & family,5000000000.0,Germany
625,Real estate,Chandru Raheja,5000000000.0,India
626,Financial services,Andre Koo Sr,5000000000.0,Taiwan
627,Finance,Tsai Hong-tu,5000000000.0,Taiwan
628,"Cement, diversified",Francesco Gaetano Caltagirone,4900000000.0,Italy
629,Real estate,Donald Trump,4900000000.0,United States
630,Investments,Bidzina Ivanishvili,4900000000.0,Georgia
631,Pharmaceutical ingredients,Li Ge,4900000000.0,United States
632,Pharmacies,Daryl Katz,4900000000.0,Canada
633,Finance,Rajiv Jain,4900000000.0,United States
634,Coffee makers,Giuseppe De'Longhi & family,4900000000.0,Italy
635,Spotify,Daniel Ek,4900000000.0,Sweden
636,Oil & gas,Trevor Rees-Jones,4900000000.0,United States
637,Real estate,Alexandra Schoerghuber & family,4900000000.0,Germany
638,Computer hardware,Charles Liang,4900000000.0,United States
639,Cargill,Gwendolyn Sontheim Meyer,4900000000.0,United States
640,"Telecoms, media, oil-services",Ananda Krishnan,4900000000.0,Malaysia
641,Banking,Timur Kulibayev,4900000000.0,Kazakhstan
641,Banking,Dinara Kulibaeva,4900000000.0,Kazakhstan
643,"Billboards, Los Angeles Angels",Arturo Moreno,4900000000.0,United States
644,"Computer services, real estate",Margot Birmingham Perot,4900000000.0,United States
645,Medical devices,Hansjoerg Wyss,4900000000.0,Switzerland
646,Finance,Tsai Cheng-ta,4900000000.0,Taiwan
647,Oil & gas,Alejandro Bulgheroni,4900000000.0,Argentina
648,Medical devices,Willy Michel,4900000000.0,Switzerland
649,Private equity,Stephen Feinberg,4800000000.0,United States
650,Email marketing,Ben Chestnut,4800000000.0,United States
651,Hyundai,Mong-Koo Chung,4800000000.0,South Korea
652,Microchip testing,Giuseppe Crippa & family,4800000000.0,Italy
653,Franklin Templeton,Charles B. Johnson,4800000000.0,United States
654,Shipping,George Economou,4800000000.0,Greece
655,Diversified,Chairul Tanjung,4800000000.0,Indonesia
656,"Banking, minerals",Joao Moreira Salles,4800000000.0,Brazil
656,"Banking, minerals",Walther Moreira Salles Junior,4800000000.0,Brazil
658,U-Haul,Mark Shoen,4800000000.0,United States
659,Movies,Steven Spielberg,4800000000.0,United States
660,Retail,Renuka Jagtiani,4800000000.0,India
661,Gaming,Forrest Li,4800000000.0,Singapore
662,Real estate,Herb Simon,4800000000.0,United States
663,Package delivery,Lai Meisong,4800000000.0,China
664,"Manufacturing, investments",Mitchell Rales,4800000000.0,United States
665,Netflix,Reed Hastings,4800000000.0,United States
666,Software,Georg Nemetschek & family,4800000000.0,Germany
667,Consumer goods,Nusli Wadia,4700000000.0,India
668,Uber,Garrett Camp,4700000000.0,Canada
669,Eyeglasses,Claudio Del Vecchio,4700000000.0,Italy
670,Eyeglasses,Rocco Basilico,4700000000.0,Italy
671,Eyeglasses,Paola Del Vecchio,4700000000.0,Italy
671,Eyeglasses,Marisa Del Vecchio,4700000000.0,Italy
671,Eyeglases,Clemente Del Vecchio,4700000000.0,Italy
671,Eyeglasses,Leonardo Maria Del Vecchio,4700000000.0,Italy
671,Eyeglasses,Nicoletta Zampillo,4700000000.0,Italy
671,Eyeglasses,Luca Del Vecchio,4700000000.0,Italy
677,Financial services,Nithin Kamath,4700000000.0,India
678,IT provider,Jim Kavanaugh,4700000000.0,United States
679,Real estate,Chan Laiwa & family,4700000000.0,China
680,Real estate,Carlo Fidani,4700000000.0,Canada
681,Dental implants,Thomas Straumann,4700000000.0,Switzerland
682,Diversified,Zahan Mistry,4700000000.0,Ireland
682,Diversified,Firoz Mistry,4700000000.0,Ireland
684,Industrial explosives,Satyanarayan Nuwal,4700000000.0,India
685,Fashion retail,Friedrich Knapp,4700000000.0,Germany
686,"Biotech, vaccines",Stéphane Bancel,4700000000.0,France
687,Philadelphia Eagles,Jeffrey Lurie & family,4600000000.0,United States
688,"Retail, real estate",Odd Reitan & family,4600000000.0,Norway
689,Metals,Igor Altushkin,4600000000.0,Russia
690,Venture capital,Leonid Boguslavsky,4600000000.0,Canada
691,Semiconductors,Kwak Dong Shin,4600000000.0,South Korea
692,Real estate,Ian Livingstone,4600000000.0,United Kingdom
692,Real estate,Richard Livingstone,4600000000.0,United Kingdom
694,Drugstores,Dirk Rossmann & family,4600000000.0,Germany
695,"Shipping, seafood",Kjell Inge Rokke,4600000000.0,Norway
696,Real estate,Zhu Yan & family,4600000000.0,China
697,Shipping,Yang Shaopeng,4600000000.0,China
698,Furniture,Ronald Wanek,4600000000.0,United States
699,Little Caesars Pizza,Marian Ilitch,4600000000.0,United States
700,metals,Xiang Guangda,4600000000.0,China
701,Pharmaceuticals,Zhu Baoguo & family,4600000000.0,China
702,Mobile phone retailer,Yasumitsu Shigeta,4600000000.0,Japan
703,Semiconductors,Yu Renrong,4600000000.0,China
704,Kitchen appliances,Michael Pieper,4600000000.0,Switzerland
705,Estee Lauder,Ronald Lauder,4600000000.0,United States
706,Software services,N.R. Narayana Murthy,4500000000.0,India
707,Automobiles,Abhay Firodia,4500000000.0,India
708,Investments,Peter Kellogg,4500000000.0,United States
709,Retail,Tom Morris,4500000000.0,United Kingdom
710,EBay,Jeff Skoll,4500000000.0,United States
711,"Oil & gas, investments",Lynn Schusterman & family,4500000000.0,United States
712,Insurance,William Berkley,4500000000.0,United States
713,Cheese,Emanuele (Lino) Saputo & family,4500000000.0,Canada
714,Cargill,James Cargill II,4500000000.0,United States
714,Cargill,Austen Cargill II,4500000000.0,United States
714,Cargill,Marianne Liebmann,4500000000.0,United States
717,Engineering,Anu Aga,4500000000.0,India
718,cryptocurrency,Michael Saylor,4500000000.0,United States
719,Auto parts,Nirmal Minda,4500000000.0,India
720,Fashion retail,Isak Andic & family,4500000000.0,Spain
721,Tires,Arvind Poddar,4500000000.0,India
722,Aluminum,Koon Poh Keong,4400000000.0,Malaysia
723,Defense Contracting,Michal Strnad,4400000000.0,Czech Republic
724,Retail,Samuel Yin,4400000000.0,Taiwan
725,Jewelry,Joy Alukkas,4400000000.0,India
726,Car dealerships,Gail Miller,4400000000.0,United States
727,Telecom,Richard Li,4400000000.0,Hong Kong
728,Software,Melanie Perkins,4400000000.0,Australia
728,Software,Cliff Obrecht,4400000000.0,Australia
730,"Palm oil, nickel mining",Lim Hariyanto Wijaya Sarwono,4400000000.0,Indonesia
731,Banking,Juan Carlos Escotet,4400000000.0,Venezuela
732,Metals,Andrei Kozitsyn,4400000000.0,Russia
733,Software,Gil Shwed,4400000000.0,Israel
734,Indianapolis Colts,James Irsay,4400000000.0,United States
735,Private equity,Jim Coulter,4400000000.0,United States
736,Finance and investments,Stephen Smith,4400000000.0,Canada
737,Washington Commanders,Dan Snyder,4400000000.0,United States
738,Best Buy,Richard Schulze,4300000000.0,United States
739,Chemicals,Luo Liguo & family,4300000000.0,China
740,Publishing,Stefan von Holtzbrinck,4300000000.0,Germany
741,Pharmaceuticals,Jerzy Starak,4300000000.0,Poland
742,"Oil, banking, telecom",Pyotr Aven,4300000000.0,Russia
743,Real estate,Cai Kui,4300000000.0,China
744,Medical packaging,Sergio Stevanato & family,4300000000.0,Italy
745,Food service,Jeremy Jacobs Sr & family,4300000000.0,United States
746,Telecom,Shaul Shani,4300000000.0,Israel
747,Drones,Frank Wang,4300000000.0,China
748,Videogames,Gabe Newell,4300000000.0,United States
749,Marvel comics,Isaac Perlmutter,4300000000.0,United States
750,Biochemicals,Peter Grogg,4300000000.0,Switzerland
751,Mining,Clive Palmer,4300000000.0,Australia
752,"Oil, real estate",John Catsimatidis,4300000000.0,United States
753,Two-wheelers,Venu Srinivasan,4300000000.0,India
754,Food services,Danielle Bellon & family,4200000000.0,France
755,Pharmaceuticals,Egor Kulkov,4200000000.0,Russia
756,Computer networking,Jayshree Ullal,4200000000.0,United States
757,Spirits,Luca Garavoglia,4200000000.0,Italy
758,Semiconductors,Tsai Ming-kai,4200000000.0,Taiwan
759,Acoustic components,Jiang Bin,4200000000.0,China
760,Hospitals,Jorge Moll Filho & family,4200000000.0,Brazil
761,"Elevators, escalators",Antti Herlin,4200000000.0,Finland
762,Samsung,Hong Ra-hee,4200000000.0,South Korea
763,Beverages,Nick Caporella,4200000000.0,United States
764,Shein,Ren Xiaoqing,4200000000.0,China
764,Shein,Maggie Gu,4200000000.0,China
764,Shein,Molly Miao,4200000000.0,China
767,Finance,Marc Ladreit de Lacharriere,4200000000.0,France
768,Electric vehicles,Li Xiang,4200000000.0,China
769,Aircraft leasing,Steven Udvar-Hazy,4200000000.0,United States
770,Software,Mark Leonard & family,4200000000.0,Canada
771,Banking,Carlos Hank Rhon & family,4200000000.0,Mexico
772,"Netscape, investments",James Clark,4200000000.0,United States
773,Electronics,Zhang Hejun,4200000000.0,China
774,Trucking,Johnelle Hunt,4200000000.0,United States
775,U-Haul,E. Joe Shoen,4099999999.9999995,United States
776,Building materials,Maggie Hardy,4099999999.9999995,United States
777,Ticketing service,Klaus-Peter Schulenberg,4099999999.9999995,Germany
778,Investments,Hamilton James & family,4099999999.9999995,United States
779,Diversified,Pham Nhat Vuong,4099999999.9999995,Vietnam
780,Cybersecurity,Ken Xie,4099999999.9999995,United States
781,Online media,Barry Diller,4099999999.9999995,United States
782,Investments,Ryan Cohen,4099999999.9999995,Canada
783,Staffing & recruiting,Jim Davis,4099999999.9999995,United States
784,Logistics,Brad Jacobs,4099999999.9999995,United States
785,Retail,Takao Yasuda,4099999999.9999995,Japan
786,"Auto parts, distribution",Nicolas D'Ieteren,4099999999.9999995,Belgium
787,"Twitter, Square",Jack Dorsey,4000000000.0,United States
788,Private equity,Daniel D'Aniello,4000000000.0,United States
789,"Steel, coal",Rinat Akhmetov,4000000000.0,Ukraine
790,Real estate,Donald Sterling,4000000000.0,United States
791,TD Ameritrade,J. Joe Ricketts & family,4000000000.0,United States
792,Hotels,Bob Gaglardi & family,4000000000.0,Canada
793,Real estate,Erik Selin,4000000000.0,Sweden
794,Medical devices,Jian Yao,4000000000.0,China
795,Petrochemicals,Fan Hongwei,4000000000.0,China
796,Semiconductors,Morris Chang,4000000000.0,Taiwan
797,"Construction, pipes, banking",Arkady Rotenberg,4000000000.0,Russia
798,Fashion retail,Zhou Jianping,4000000000.0,China
799,Real estate,Sergei Gordeev,4000000000.0,Russia
800,Electronic trading,Vincent Viola,4000000000.0,United States
801,Fashion,Renzo Rosso & family,3900000000.0,Italy
802,Liquor,Wang Junlin & family,3900000000.0,China
803,Casinos,Pansy Ho,3900000000.0,Hong Kong
804,"Consumer goods, real estate",Jamshyd Godrej,3900000000.0,India
804,Consumer goods,Adi Godrej,3900000000.0,India
804,"Consumer goods, real estate",Nadir Godrej,3900000000.0,India
804,Consumer goods,Smita Crishna-Godrej,3900000000.0,India
804,"Consumer goods, real estate",Rishad Naoroji,3900000000.0,India
809,Plastic pipes,Sandeep Engineer,3900000000.0,India
810,Diversified,Madhur Bajaj,3900000000.0,India
810,Diversified,Shekhar Bajaj,3900000000.0,India
812,Diversified,Niraj Bajaj,3900000000.0,India
813,Real estate,Yitzhak Tshuva,3900000000.0,Israel
814,Chemicals,Vivek Jain,3900000000.0,India
815,Cryptocurrency,Paolo Ardoino,3900000000.0,Italy
815,Cryptocurrency,Jean-Louis van der Velde,3900000000.0,Netherlands
815,Meat processing,Steve Lavin & family,3900000000.0,United States
818,"Metals, mining",Andrei Bokarev,3900000000.0,Russia
819,Fashion investments,Lawrence Stroll,3900000000.0,Canada
820,Hedge funds,Alan Howard,3900000000.0,United Kingdom
821,Real estate,Yakir Gabay,3900000000.0,Cyprus
822,Franklin Templeton,Rupert Johnson Jr,3900000000.0,United States
823,Bloomberg LP,Charles Zegar,3900000000.0,United States
824,Supermarkets,Djoko Susanto,3900000000.0,Indonesia
825,Zoom Video Communications,Eric Yuan & family,3900000000.0,United States
826,"Oil, investments",Sid Bass,3900000000.0,United States
827,Consumer goods,Acharya Balkrishna,3900000000.0,India
828,"Groupon, investments",Eric Lefkofsky,3900000000.0,United States
829,Aluminum,Zhang Xuexin & family,3900000000.0,China
830,Diversified,Abdulla bin Ahmad Al Ghurair & family,3800000000.0,United Arab Emirates
831,Real estate,Lin Chen-hai,3800000000.0,Taiwan
832,Hyundai,Euisun Chung,3800000000.0,South Korea
833,Venture capital,Shen Neil,3800000000.0,China
834,Business software,Thomas Siebel,3800000000.0,United States
835,Train cars,Peter Spuhler,3800000000.0,Switzerland
836,Campbell Soup,Mary Alice Dorrance Malone,3800000000.0,United States
837,Telecom,Naguib Sawiris,3800000000.0,Egypt
838,Valves,Zhang Daocai,3800000000.0,China
839,Beef packing,Wesley Batista,3800000000.0,Brazil
839,Beef processing,Joesley Batista,3800000000.0,Brazil
841,Private equity,Barry Sternlicht,3800000000.0,United States
842,"Media, automotive",James Chambers,3800000000.0,United States
843,Poultry processing,Joseph Grendys,3800000000.0,United States
844,"Media, automotive",Margaretta Taylor,3800000000.0,United States
845,Adhesives,Madhukar Parekh,3800000000.0,India
846,Medical equipment,Pat Stryker,3800000000.0,United States
847,"Media, automotive",Katharine Rayner,3800000000.0,United States
848,Furniture,Yao Liangsong,3800000000.0,China
849,Diversified,Ipek Kirac,3800000000.0,Turkey
850,Private equity,José E. Feliciano,3800000000.0,United States
851,Private equity,David Rubenstein,3800000000.0,United States
852,Pharmaceuticals,Leonard Schleifer,3800000000.0,United States
853,Private equity,Behdad Eghbali,3800000000.0,United States
854,Steel production,Wenrong Shen,3700000000.0,China
855,Security software,George Kurtz,3700000000.0,United States
856,Solar wafers and modules,Li Chunan,3700000000.0,China
857,Insurance,Chen Dongsheng,3700000000.0,China
858,Diversified,Sanjiv Goenka,3700000000.0,India
859,Aerospace,Eren Ozmen,3700000000.0,United States
860,"Hotels, investments",Anthony Pritzker,3700000000.0,United States
861,"Oil, coal, real estate",Mikhail Gutseriev,3700000000.0,Russia
862,Diversified,Anand Mahindra,3700000000.0,India
863,Retail,Horst Paulmann & family,3700000000.0,Chile
864,Cars,Roger Penske,3700000000.0,United States
865,Real estate,H. Ross Perot Jr,3700000000.0,United States
866,Beer,Beatriz Davila de Santo Domingo,3700000000.0,Colombia
867,Spirits,Alessandra Garavoglia,3700000000.0,Italy
868,Online gambling,John Coates,3700000000.0,United Kingdom
869,Coal,Dewi Kam,3700000000.0,Indonesia
870,Real estate,Akira Mori & family,3700000000.0,Japan
871,Online retailing,Bom Kim,3700000000.0,United States
872,"Shipping, soccer",Evangelos Marinakis & family,3700000000.0,Greece
873,Tobacco,John Middleton,3700000000.0,United States
874,"Hospitals, airline",Prasert Prasarttong-Osoth,3700000000.0,Thailand
875,Shoes,Masahiro Miki,3700000000.0,Japan
876,Publishing,Hubert Burda,3700000000.0,Germany
877,Chemicals,Markus Blocher,3700000000.0,Switzerland
878,Financial services,Matthias Reinhart,3700000000.0,Switzerland
879,E-commerce,Zhang Tao,3700000000.0,China
880,Real estate,Jay Paul,3700000000.0,United States
881,Fintech,Hayes Barnard,3700000000.0,United States
882,Fashion,Brunello Cucinelli & family,3700000000.0,Italy
883,Publishing,Christiane Schoeller,3700000000.0,Germany
884,Retail,Christian Haub,3700000000.0,Germany
885,Diversified,Semahat Sevim Arsel,3700000000.0,Turkey
886,Chemicals,Stephan Schnabel,3700000000.0,Germany
887,Heating and cooling equipment,Anna Katharina Viessmann,3700000000.0,Germany
888,Diversified,Harsh Goenka,3600000000.0,India
889,Video games,Jon Yarbrough,3600000000.0,United States
890,Auto parts,Cho Tak Wong,3600000000.0,Hong Kong
891,Fish farming,Gustav Magnar Witzoe,3600000000.0,Norway
892,Mining,Vladimir Kim,3600000000.0,Kazakhstan
893,Advertising,Jason Jiang,3600000000.0,Singapore
894,Insurance,J. Hyatt Brown,3600000000.0,United States
895,"Hotels, investments",Penny Pritzker,3600000000.0,United States
896,mining,Alexander Ramlie,3600000000.0,Indonesia
897,Consumer goods,Karsanbhai Patel,3600000000.0,India
898,Web hosting,Bob Parsons,3600000000.0,United States
899,Investments,Steven Klinsky,3600000000.0,United States
900,Investments,Ira Rennert,3600000000.0,United States
901,Venture capital,Josh Kushner,3600000000.0,United States
902,"Automobiles, batteries",Xia Zuoquan,3600000000.0,China
903,Online services,Kim Beom-su,3600000000.0,South Korea
904,Hedge funds,Daniel Och,3600000000.0,United States
905,Aerospace,Fatih Ozmen,3600000000.0,United States
906,Media,Kalanithi Maran,3600000000.0,India
907,Real estate,Samuel Tak Lee,3600000000.0,Hong Kong
908,Discount brokerage,Rodger Riney & family,3600000000.0,United States
909,Snapchat,Evan Spiegel,3600000000.0,United States
910,Real estate,Edwin Leong,3600000000.0,Hong Kong
911,Semiconductors,Chen Tianshi,3600000000.0,China
912,Private equity,William Conway Jr,3600000000.0,United States
913,"Mining, commodities",Aristotelis Mistakidis,3600000000.0,Greece
914,Education,Sunny Varkey,3600000000.0,India
915,Fertilizer,Xiao Yongming & family,3600000000.0,China
916,Uber,Travis Kalanick,3600000000.0,United States
917,Smartphone components,Zeng Fangqin,3600000000.0,Hong Kong
918,Investing,Walter P.J. Droege,3600000000.0,Germany
919,Pharmaceuticals,Tse Ping & family,3600000000.0,China
920,Convenience stores,Jacques D'Amours,3600000000.0,Canada
921,Tequila,Juan Domingo Beckmann Legorreta & family,3600000000.0,Mexico
922,Money management,Bruce Flatt,3500000000.0,Canada
923,Stock brokerage,Timur Turlov,3500000000.0,Kazakhstan
924,Agriculture,Andrej Babis,3500000000.0,Czech Republic
925,Consumer goods,Harsh Mariwala,3500000000.0,India
926,Solar panel components,Lin Jianhua,3500000000.0,China
927,Titanium,Mikhail Shelkov,3500000000.0,Russia
928,Hearing aids,Susan Carol Holland,3500000000.0,Italy
929,"Art, car dealerships",Norman Braman,3500000000.0,United States
930,Sensor systems,Sanjit Biswas,3500000000.0,United States
931,"Oil, gas",Nikolai Buinov,3500000000.0,Russia
932,Online retail,Hiroshi Mikitani,3500000000.0,Japan
933,Cybersecurity,Michael Xie,3500000000.0,United States
934,Skincare,Fan Daidi,3500000000.0,China
935,Aviation,Charles Edelstenne,3500000000.0,France
936,Cable television,Amos Hostetter Jr,3500000000.0,United States
937,"Hotels, investments",J.B. Pritzker,3500000000.0,United States
938,Private equity,Carl Thoma,3500000000.0,United States
939,Yahoo,David Filo,3500000000.0,United States
940,Shopping malls,John Gandel,3500000000.0,Australia
941,Hedge funds,John Paulson,3500000000.0,United States
942,"Mining, commodities",Daniel Mate,3500000000.0,Spain
943,Winter jackets,Remo Ruffini,3500000000.0,Italy
944,Biotechnology,Ugur Sahin,3500000000.0,Germany
945,Investments,Wesley Edens,3400000000.0,United States
946,Defense,Neal Blue & family,3400000000.0,United States
947,Diamond jewelry,Laurence Graff & family,3400000000.0,United Kingdom
948,Motors,Shigenobu Nagamori,3400000000.0,Japan
949,Flavorings,Hans Peter Wild,3400000000.0,Switzerland
950,Steel,Barry Zekelman,3400000000.0,Canada
951,"Casinos, hotels",Steve Wynn,3400000000.0,United States
952,Real estate,Richard LeFrak & family,3400000000.0,United States
953,Shipping,Tung Chee Chen,3400000000.0,Hong Kong
954,Chicken processing,Paul-Heinz Wesjohann & family,3400000000.0,Germany
955,Valve manufacturing,Catherine Lozick,3400000000.0,United States
956,"Nutrition, wellness products",Frank VanderSloot,3400000000.0,United States
957,Sensor systems,John Bicket,3400000000.0,United States
958,Chemicals,Arun Bharat Ram,3400000000.0,India
959,"Auto parts, distribution",Catheline Perier D'Ieteren,3400000000.0,Belgium
960,"Dole, real estate",David Murdock,3400000000.0,United States
961,"Walmart, logistics",Drayton McLane Jr,3400000000.0,United States
962,Infrastructure,G. M. Rao,3400000000.0,India
963,Drug distribution,Stewart Rahr,3400000000.0,United States
964,Energy,Saban Cemil Kazanci,3400000000.0,Turkey
965,Fertilizer,Alceu Elias Feldmann & family,3400000000.0,Brazil
